,Holder,Shares,Date Reported,% Out,Value,Target
7,Pictet Asset Management SA,4315258.0,2022-06-29,0.0183,252917271.0,LNT
8,Invesco Ltd.,3945102.0,2022-06-29,0.0167,231222428.0,LNT
9,"Franklin Resources, Inc.",3922607.0,2022-06-29,0.0166,229903996.0,LNT
0,"Vanguard Group, Inc. (The)",25425175.0,2022-06-29,0.0941,3222132427.0,ALL
1,Blackrock Inc.,22556980.0,2022-06-29,0.08349999999999999,2858646075.0,ALL
2,State Street Corporation,12686687.0,2022-06-29,0.046900000000000004,1607783843.0,ALL
3,Invesco Ltd.,5855408.0,2022-06-29,0.0217,742055855.0,ALL
4,"Geode Capital Management, LLC",5746537.0,2022-06-29,0.0213,728258634.0,ALL
5,"Charles Schwab Investment Management, Inc.",5083839.0,2022-06-29,0.018799999999999997,644274916.0,ALL
6,"Barrow, Hanley Mewhinney & Strauss, LLC",4978649.0,2022-06-29,0.0184,630944187.0,ALL
7,"American Century Companies, Inc.",4561671.0,2022-06-29,0.0169,578100565.0,ALL
8,Northern Trust Corporation,3842670.0,2022-06-29,0.014199999999999999,486981569.0,ALL
9,Lsv Asset Management,3685061.0,2022-06-29,0.013600000000000001,467007780.0,ALL
0,"Vanguard Group, Inc. (The)",472450260.0,2022-06-29,0.0788,51479597680.0,GOOGL
1,Blackrock Inc.,415661680.0,2022-06-29,0.0693,45291743637.0,GOOGL
2,Fiera Capital Corporation,357145600.0,2022-06-29,0.0596,38915656012.0,GOOGL
3,"FMR, LLC",239377680.0,2022-06-29,0.039900000000000005,26083310145.0,GOOGL
4,State Street Corporation,217085280.0,2022-06-29,0.0362,23654263364.0,GOOGL
5,Price (T.Rowe) Associates Inc,124910820.0,2022-06-29,0.0208,13610657679.0,GOOGL
6,"Geode Capital Management, LLC",113169600.0,2022-06-29,0.0189,12331299124.0,GOOGL
7,Norges Bank Investment Management,99947960.0,2021-12-30,0.0167,14477661901.0,GOOGL
8,Morgan Stanley,94293520.0,2022-06-29,0.015700000000000002,10274504819.0,GOOGL
9,Bank of America Corporation,77508480.0,2022-06-29,0.0129,8445556506.0,GOOGL
0,"Vanguard Group, Inc. (The)",425276460.0,2022-06-29,0.069,46513549621.0,GOOG
1,Blackrock Inc.,372550940.0,2022-06-29,0.0604,40746827685.0,GOOG
2,Price (T.Rowe) Associates Inc,217557340.0,2022-06-29,0.0353,23794790169.0,GOOG
3,State Street Corporation,201772260.0,2022-06-29,0.0327,22068336506.0,GOOG
4,"FMR, LLC",140721340.0,2022-06-29,0.022799999999999997,15391044759.0,GOOG
5,"Geode Capital Management, LLC",97225560.0,2022-06-29,0.0158,10633802561.0,GOOG
6,JP Morgan Chase & Company,80240200.0,2022-06-29,0.013000000000000001,8776071274.0,GOOG
7,Capital International Investors,75929980.0,2022-06-29,0.0123,8304651737.0,GOOG
