Source,Target,Weight
Deutsche Bank Aktiengesellschaft,ATO,551283138
GQG Partners LLC,ATO,494969815
"American Century Companies, Inc.",ATO,392222878
Invesco Ltd.,ATO,320763052
"Geode Capital Management, LLC",ATO,320477981
Legal & General Group PLC,ATO,220357660
"Vanguard Group, Inc. (The)",ADSK,3090369338
Blackrock Inc.,ADSK,2730123799
"Polen Capital Management, LLC",ADSK,1448142224
State Street Corporation,ADSK,1448660855
"Loomis Sayles & Company, LP",ADSK,1295353356
Brown Advisory Inc.,ADSK,954715557
Norges Bank Investment Management,ADSK,1504904135
"Aristotle Capital Management, LLC",ADSK,908403118
"FMR, LLC",ADSK,904924367
Ninety One UK Ltd,ADSK,710615586
"Vanguard Group, Inc. (The)",AZO,4097290832
Blackrock Inc.,AZO,3246802382
JP Morgan Chase & Company,AZO,2712905096
"FMR, LLC",AZO,2154653984
State Street Corporation,AZO,1818718589
Fiera Capital Corporation,AZO,1456114764
Boston Partners,AZO,1447619293
"Geode Capital Management, LLC",AZO,981565428
Royal Bank of Canada,AZO,976701969
"AllianceBernstein, L.P.",AZO,650643930
"Vanguard Group, Inc. (The)",AVB,4423773548
Blackrock Inc.,AVB,2790706416
State Street Corporation,AVB,1855562829
Norges Bank Investment Management,AVB,1499421221
Price (T.Rowe) Associates Inc,AVB,1061750880
"Principal Financial Group, Inc.",AVB,979715609
JP Morgan Chase & Company,AVB,728926621
Invesco Ltd.,AVB,665808580
"Geode Capital Management, LLC",AVB,584892189
"Wellington Management Group, LLP",AVB,508797859
"Vanguard Group, Inc. (The)",AVY,1574921125
Price (T.Rowe) Associates Inc,AVY,1035681490
Blackrock Inc.,AVY,1030703501
State Street Corporation,AVY,613536670
Victory Capital Management Inc.,AVY,362979554
Lazard Asset Management LLC,AVY,310571066
"Ameriprise Financial, Inc.",AVY,265614911
"Neuberger Berman Group, LLC",AVY,262351935
"Geode Capital Management, LLC",AVY,255713646
Invesco Ltd.,AVY,251928640
Capital World Investors,BKR,3468198656
"Vanguard Group, Inc. (The)",BKR,3259685370
Capital Research Global Investors,BKR,3161465935
Blackrock Inc.,BKR,2314177223
State Street Corporation,BKR,1879103320
JP Morgan Chase & Company,BKR,1093660817
General Electric Company,BKR,694598533
"FMR, LLC",BKR,775949556
Dodge & Cox Inc,BKR,679955189
Norges Bank Investment Management,BKR,501228819
"Vanguard Group, Inc. (The)",BALL,2440247746
Price (T.Rowe) Associates Inc,BALL,1877086571
Blackrock Inc.,BALL,1766818621
State Street Corporation,BALL,974645713
"Parnassus Investments, LLC",BALL,828897257
Goldman Sachs Group Inc,BALL,476073528
"Geode Capital Management, LLC",BALL,448600876
Morgan Stanley,BALL,431100218
"Sustainable Growth Advisors, LP",BALL,362909055
Massachusetts Financial Services Co.,BALL,274854021
"Berkshire Hathaway, Inc",BAC,31444431864
"Vanguard Group, Inc. (The)",BAC,18651368502
Blackrock Inc.,BAC,15195207570
State Street Corporation,BAC,9345919981
"FMR, LLC",BAC,7012118916
JP Morgan Chase & Company,BAC,4155492491
"Geode Capital Management, LLC",BAC,3717029927
Capital World Investors,BAC,2836257724
Morgan Stanley,BAC,2774099955
Norges Bank Investment Management,BAC,3938246168
"Vanguard Group, Inc. (The)",BBWI,712091043
Lone Pine Capital Llc,BBWI,598208513
Blackrock Inc.,BBWI,505219350
State Street Corporation,BBWI,268676836
Egerton Capital (UK) LLP,BBWI,201205760
Price (T.Rowe) Associates Inc,BBWI,171325690
Steadfast Capital Management Lp,BBWI,165777990
Primecap Management Company,BBWI,159015363
JP Morgan Chase & Company,BBWI,132288783
"Geode Capital Management, LLC",BBWI,128867386
"Wellington Management Group, LLP",BAX,3975015177
Blackrock Inc.,BAX,2620096044
"Vanguard Group, Inc. (The)",BAX,2616406609
Morgan Stanley,BAX,1943997640
State Street Corporation,BAX,1374835635
Generation Investment Management LLP,BAX,836163096
Veritas Asset Management LLP,BAX,733936555
"Geode Capital Management, LLC",BAX,578428339
State Farm Mutual Automobile Insurance Co,BAX,440193239
Macquarie Group Limited,BAX,420866240
Price (T.Rowe) Associates Inc,BDX,6610556743
"Vanguard Group, Inc. (The)",BDX,6141785125
Blackrock Inc.,BDX,5030960144
State Street Corporation,BDX,3089305642
"Wellington Management Group, LLP",BDX,2712224941
Morgan Stanley,BDX,2213210748
"Parnassus Investments, LLC",BDX,1343439595
Massachusetts Financial Services Co.,BDX,1286777880
"Geode Capital Management, LLC",BDX,1171738846
JP Morgan Chase & Company,BDX,992467161
"Vanguard Group, Inc. (The)",WRB,1711159768
Blackrock Inc.,WRB,968939573
State Street Corporation,WRB,755463863
Janus Henderson Group PLC,WRB,640279141
Kayne Anderson Rudnick Investment Management LLC,WRB,615422603
Atlanta Capital Management Company LLC,WRB,613093572
Victory Capital Management Inc.,WRB,365291273
Invesco Ltd.,WRB,339450904
"First Eagle Investment Management, LLC",WRB,311750519
"Geode Capital Management, LLC",WRB,301068306
"Vanguard Group, Inc. (The)",BBY,1696926926
Blackrock Inc.,BBY,1342703631
JP Morgan Chase & Company,BBY,770053745
State Street Corporation,BBY,598546026
Price (T.Rowe) Associates Inc,BBY,315900570
"Geode Capital Management, LLC",BBY,270424026
"Charles Schwab Investment Management, Inc.",BBY,252575134
Bank of America Corporation,BBY,245014920
Northern Trust Corporation,BBY,244118883
"FMR, LLC",BBY,217331660
"Vanguard Group, Inc. (The)",BIO,1162804500
Blackrock Inc.,BIO,787395015
State Street Corporation,BIO,473138325
Veritas Asset Management LLP,BIO,379547190
"FMR, LLC",BIO,348085485
"AllianceBernstein, L.P.",BIO,305076420
Brown Advisory Inc.,BIO,288436995
"Geode Capital Management, LLC",BIO,217558440
Bank of America Corporation,BIO,201758040
Acadian Asset Management. LLC,BIO,199487970
"Vanguard Group, Inc. (The)",TECH,1546133990
Blackrock Inc.,TECH,1486255743
State Street Corporation,TECH,543628232
BAMCO Inc.,TECH,503104976
"Select Equity Group, Inc.",TECH,458060841
"Neuberger Berman Group, LLC",TECH,362512298
